age,gender,level,value
55,Man,Current non-smoker,74.2
55,Woman,Current daily smoker,23.4
55,Woman,Current smoker - other,0.0
55,Woman,Current non-smoker,102.8
55,Non-binary,Current daily smoker,0.0
55,Non-binary,Current smoker - other,0.0
55,Non-binary,Current non-smoker,0.0
55,Total,Current daily smoker,61.1
55,Total,Current smoker - other,9.2
55,Total,Current non-smoker,175.5
56,Man,Current daily smoker,14.8
56,Man,Current smoker - other,0.0
56,Man,Current non-smoker,136.3
56,Woman,Current daily smoker,11.0
56,Woman,Current smoker - other,4.0
56,Woman,Current non-smoker,145.0
56,Non-binary,Current daily smoker,0.0
56,Non-binary,Current smoker - other,0.0
56,Non-binary,Current non-smoker,0.0
56,Total,Current daily smoker,25.7
56,Total,Current smoker - other,4.0
56,Total,Current non-smoker,276.7
57,Man,Current daily smoker,42.4
57,Man,Current smoker - other,0.0
57,Man,Current non-smoker,127.3
57,Woman,Current daily smoker,20.6
57,Woman,Current smoker - other,0.0
57,Woman,Current non-smoker,137.6
57,Non-binary,Current daily smoker,0.0
57,Non-binary,Current smoker - other,0.0
57,Non-binary,Current non-smoker,0.0
57,Total,Current daily smoker,72.6
57,Total,Current smoker - other,0.0
57,Total,Current non-smoker,265.7
58,Man,Current daily smoker,23.6
58,Man,Current smoker - other,0.0
58,Man,Current non-smoker,141.2
58,Woman,Current daily smoker,15.5
58,Woman,Current smoker - other,3.1
58,Woman,Current non-smoker,96.2
58,Non-binary,Current daily smoker,0.0
58,Non-binary,Current smoker - other,0.0
58,Non-binary,Current non-smoker,0.0
58,Total,Current daily smoker,46.8
58,Total,Current smoker - other,2.7
58,Total,Current non-smoker,239.8
59,Man,Current daily smoker,23.5
59,Man,Current smoker - other,0.0
59,Man,Current non-smoker,107.0
59,Woman,Current daily smoker,36.1
59,Woman,Current smoker - other,0.0
59,Woman,Current non-smoker,126.6
59,Non-binary,Current daily smoker,0.0
59,Non-binary,Current smoker - other,0.0
59,Non-binary,Current non-smoker,0.0
59,Total,Current daily smoker,65.7
59,Total,Current smoker - other,0.0
59,Total,Current non-smoker,233.7
